"Date","Index","D12","E12","b/m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx"
"1880-11-01","5.61","0.255","0.4808","NaN","NaN","NaN","NaN","NaN","NaN","0.0036472458969396666","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1880-12-01","5.84","0.26","0.49","NaN","NaN","NaN","NaN","NaN","NaN","0.004058897780585596","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-01-01","6.19","0.265","0.4858","NaN","NaN","NaN","NaN","NaN","NaN","0.0035075397839542887","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-02-01","6.17","0.27","0.4817","NaN","NaN","NaN","NaN","NaN","NaN","0.0036031302855844155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-03-01","6.24","0.275","0.4775","NaN","NaN","NaN","NaN","NaN","NaN","0.003728119463424142","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-04-01","6.22","0.28","0.4733","NaN","NaN","NaN","NaN","NaN","NaN","0.003463418008811714","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-05-01","6.5","0.285","0.4692","NaN","NaN","NaN","NaN","NaN","NaN","0.0026320941243429337","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-06-01","6.58","0.29","0.465","NaN","NaN","NaN","NaN","NaN","NaN","0.0022198543539041398","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-07-01","6.35","0.295","0.4608","NaN","NaN","NaN","NaN","NaN","NaN","0.002587933705218044","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-08-01","6.2","0.3","0.4567","NaN","NaN","NaN","NaN","NaN","NaN","0.003286911438354484","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-09-01","6.25","0.305","0.4525","NaN","NaN","NaN","NaN","NaN","NaN","0.0038310399985859683","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-10-01","6.15","0.31","0.4483","NaN","NaN","NaN","NaN","NaN","NaN","0.004242616245562377","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-11-01","6.19","0.315","0.4442","NaN","NaN","NaN","NaN","NaN","NaN","0.004279355888608167","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1881-12-01","6.01","0.32","0.44","NaN","NaN","NaN","NaN","NaN","NaN","0.004242616245562377","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-01-01","5.92","0.32","0.4392","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-02-01","5.79","0.32","0.4383","NaN","NaN","NaN","NaN","NaN","NaN","0.003669302972818569","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-03-01","5.78","0.32","0.4375","NaN","NaN","NaN","NaN","NaN","NaN","0.0037942838805792027","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-04-01","5.78","0.32","0.4367","NaN","NaN","NaN","NaN","NaN","NaN","0.0033678141504435155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-05-01","5.71","0.32","0.4358","NaN","NaN","NaN","NaN","NaN","NaN","0.003213357838080254","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-06-01","5.68","0.32","0.435","NaN","NaN","NaN","NaN","NaN","NaN","0.003411940143906607","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-07-01","6.0","0.32","0.4342","NaN","NaN","NaN","NaN","NaN","NaN","0.0030441640231788224","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-08-01","6.18","0.32","0.4333","NaN","NaN","NaN","NaN","NaN","NaN","0.0038016352122623273","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-09-01","6.24","0.32","0.4325","NaN","NaN","NaN","NaN","NaN","NaN","0.00460995194908705","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-10-01","6.07","0.32","0.4317","NaN","NaN","NaN","NaN","NaN","NaN","0.004551187303435148","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-11-01","5.81","0.32","0.4308","NaN","NaN","NaN","NaN","NaN","NaN","0.004426300964264504","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1882-12-01","5.84","0.32","0.43","NaN","NaN","NaN","NaN","NaN","NaN","0.00397070092707886","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-01-01","5.81","0.3208","0.4275","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-02-01","5.68","0.3217","0.425","NaN","NaN","NaN","NaN","NaN","NaN","0.0036031302855844155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-03-01","5.75","0.3225","0.4225","NaN","NaN","NaN","NaN","NaN","NaN","0.004338136510038626","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-04-01","5.87","0.3233","0.42","NaN","NaN","NaN","NaN","NaN","NaN","0.0039192491700642765","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-05-01","5.77","0.3242","0.4175","NaN","NaN","NaN","NaN","NaN","NaN","0.0035810717500651375","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-06-01","5.82","0.325","0.415","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-07-01","5.73","0.3258","0.4125","NaN","NaN","NaN","NaN","NaN","NaN","0.003161867098670191","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-08-01","5.47","0.3267","0.41","NaN","NaN","NaN","NaN","NaN","NaN","0.0037722295612718022","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-09-01","5.53","0.3275","0.4075","NaN","NaN","NaN","NaN","NaN","NaN","0.004058897780585596","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-10-01","5.38","0.3283","0.405","NaN","NaN","NaN","NaN","NaN","NaN","0.004058897780585596","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-11-01","5.46","0.3292","0.4025","NaN","NaN","NaN","NaN","NaN","NaN","0.0038310399985859683","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1883-12-01","5.34","0.33","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1884-01-01","5.18","0.3283","0.3925","NaN","NaN","NaN","NaN","NaN","NaN","0.0032427799274088944","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1884-02-01","5.32","0.3267","0.385","NaN","NaN","NaN","NaN","NaN","NaN","0.003139798827275945","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1884-03-01","5.3","0.325","0.3775","NaN","NaN","NaN","NaN","NaN","NaN","0.0030441640231788224","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1884-04-01","5.06","0.3233","0.37","NaN","NaN","NaN","NaN","NaN","NaN","0.003117730068862349","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1884-05-01","4.65","0.3217","0.3625","NaN","NaN","NaN","NaN","NaN","NaN","0.0033678141504435155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1884-06-01","4.46","0.32","0.355","NaN","NaN","NaN","NaN","NaN","NaN","0.003875145556932474","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
